replicate,n_divergences,max_rhat,c_index,n_events,mu_approach_SAVR_mean,mu_approach_SAVR_sd,mu_approach_SAVR_true,mu_approach_TAVR_mean,mu_approach_TAVR_sd,mu_approach_TAVR_true,mu_approach_ViV-TAVR_mean,mu_approach_ViV-TAVR_sd,mu_approach_ViV-TAVR_true,shape_k_mean,shape_k_sd,shape_k_true,tau_family_mean
22,36,1.0016834877259437,0.7112068965517241,7,3.3318704454183883,0.29670740120084116,2.70805020110221,2.847939104488605,0.36291036167928825,2.995732273553991,3.03450224160887,0.35473814037730217,2.995732273553991,1.8627464542057843,0.4732098887759051,3.5,0.3458562133331813
23,10,1.0029406243229788,0.6011904761904762,6,3.136402813663852,0.29266802826636457,2.70805020110221,3.069166014978268,0.37172717228791285,2.995732273553991,3.030171168679715,0.40680578816589685,2.995732273553991,2.3357144270846892,0.7164649865361198,3.5,0.31130680678975986
24,6,1.002727450294227,0.6363636363636364,5,3.147944449941544,0.2812791268685798,2.70805020110221,3.080800066159314,0.35650341612508296,2.995732273553991,3.0170560361664283,0.3803858964255373,2.995732273553991,2.602721192468955,0.7788286769428149,3.5,0.3631562242240445
25,0,1.0041156354229268,0.5529411764705883,9,2.7394372578129946,0.1566853329092248,2.70805020110221,3.02853640944621,0.37798304156944834,2.995732273553991,2.999788465056177,0.3878477269459574,2.995732273553991,3.6428919287780657,1.0032122245525585,3.5,0.2927186058889879
26,6,1.0038905452609754,0.6683673469387755,7,2.9950036038018872,0.26703061692496466,2.70805020110221,3.0966654308211083,0.38647221839726903,2.995732273553991,3.0251823544922085,0.38200322729018826,2.995732273553991,2.5509173191463423,0.7775689770409808,3.5,0.3774150763672033
27,5,1.0012829006002832,0.6265060240963856,6,3.0945540911634213,0.2833449001409414,2.70805020110221,3.089175480230102,0.36039047947783187,2.995732273553991,3.004781482413162,0.39725932263818214,2.995732273553991,2.5468094336852025,0.7850040819095918,3.5,0.31673812326470974
28,1,1.0039994196070574,0.6166666666666667,6,3.0095893541202177,0.24379346755206743,2.70805020110221,3.055370609338348,0.3794182121348082,2.995732273553991,3.036355719127014,0.3972443188547142,2.995732273553991,3.083345991179718,0.9940064513700309,3.5,0.30533608025147774
29,0,1.0033297480518508,0.5619469026548672,10,2.679743609477236,0.14666592464506817,2.70805020110221,3.0692215922335104,0.37135899360161967,2.995732273553991,3.0107378177582866,0.39212162941747536,2.995732273553991,3.362181393184066,0.8373715809920959,3.5,0.3049178658798899
30,3,1.0010324128981622,0.5315315315315315,9,2.8120549430249246,0.21945883615079523,2.70805020110221,3.071598790127245,0.36415447492960157,2.995732273553991,3.022621239229215,0.4027565469034052,2.995732273553991,2.7612130527146403,0.7799024947447047,3.5,0.29235793930592313
31,0,1.0047119116416656,0.6578947368421053,9,2.7682765839135266,0.19983966101503553,2.70805020110221,3.0618718091314667,0.38210945095813814,2.995732273553991,3.0113764838165724,0.39098562295272565,2.995732273553991,3.032286032423291,0.8550178108777394,3.5,0.4275835401388386
32,3,1.0039319006915226,0.5902777777777778,7,2.8953956955707114,0.24200944750932055,2.70805020110221,3.051078493638448,0.3644546905959418,2.995732273553991,3.0160448897305248,0.42667528164263957,2.995732273553991,3.16073483327138,1.0257763502633426,3.5,0.29792012210704105
